"NIT","RAZÓN SOCIAL","SUPERVISOR","REGIÓN","DEPARTAMENTO DOMICILIO","CIUDAD DOMICILIO","CIIU","MACROSECTOR","INGRESOS OPERACIONALES","GANANCIA (PÉRDIDA)","TOTAL ACTIVOS","TOTAL PASIVOS","TOTAL PATRIMONIO","Año de Corte"
"816,006,799","C.I. BUSSCAR DE COLOMBIA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","2,920","MANUFACTURA","$0.44","$0.01","$0.25","$0.18","$0.07","2,024"
"900,481,902","COMERCIALIZADORA FRESMAR S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,723","COMERCIO","$0.42","$0.01","$0.12","$0.06","$0.06","2,024"
"900,616,155","SUPER PAGOS S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","6,311","SERVICIOS","$0.38","$0.00","$0.03","$0.02","$0.01","2,024"
"900,799,976","AVOFRUIT S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,631","COMERCIO","$0.34","-$0.00","$0.37","$0.35","$0.01","2,024"
"901,248,010","COFFENAR S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","SANTA ROSA DE CABAL","4,620","COMERCIO","$0.29","$0.00","$0.04","$0.03","$0.00","2,024"
"800,121,199","HIERROS HB S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,663","COMERCIO","$0.29","$0.00","$0.12","$0.08","$0.04","2,024"
"900,562,939","INVERCAFE CERRITOS S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,061","MANUFACTURA","$0.29","$0.00","$0.07","$0.07","$0.00","2,024"
"891,410,182","CAFE Y COMPAÑIA S.A.S. CAFE Y CO S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,062","MANUFACTURA","$0.28","$0.03","$0.12","$0.03","$0.09","2,024"
"900,579,611","CONSUMER ELECTRONICS GROUP S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","2,640","MANUFACTURA","$0.27","$0.01","$0.24","$0.20","$0.04","2,024"
"800,128,680","REENCAFE S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,530","COMERCIO","$0.24","$0.02","$0.12","$0.04","$0.08","2,024"
"900,448,470","HIERROS DE OCCIDENTE FERRETERIA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,663","COMERCIO","$0.24","$0.01","$0.09","$0.06","$0.03","2,024"
"891,400,754","C Y P DEL R S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","1,709","MANUFACTURA","$0.24","$0.02","$0.26","$0.16","$0.10","2,024"
"891,409,291","EVE DISTRIBUCIONES S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,645","COMERCIO","$0.23","$0.03","$0.37","$0.10","$0.27","2,024"
"900,386,657","GRUPO MAGNETRON S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","8,299","SERVICIOS","$0.20","$0.19","$0.31","$0.00","$0.31","2,024"
"819,006,966","MEDIA COMMERCE PARTNERS S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","6,110","SERVICIOS","$0.18","$0.01","$0.32","$0.21","$0.11","2,024"
"800,037,835","COMERCIALIZADORA LA BONANZA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,711","COMERCIO","$0.18","$0.00","$0.03","$0.01","$0.02","2,024"
"816,004,965","ESTATAL DE SEGURIDAD LIMITADA.","SUPERVIGILANCIA","EJE CAFETERO","RISARALDA","PEREIRA","8,010","SERVICIOS","$0.17","$0.00","$0.05","$0.03","$0.02","2,024"
"816,002,020","EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE PEREIRA S.A. ESP.","SUPERSERVICIOS","EJE CAFETERO","RISARALDA","PEREIRA","3,600","SERVICIOS","$0.17","$0.02","$0.74","$0.27","$0.46","2,024"
"816,003,186","COMERCIALIZADORA HOMAZ S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,511","COMERCIO","$0.15","$0.00","$0.10","$0.05","$0.05","2,024"
"900,464,876","ALTAMIRA SUPREMO S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,061","MANUFACTURA","$0.14","-$0.00","$0.04","$0.03","$0.01","2,024"
"901,247,676","SANCHEZ HOYOS S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","MISTRATO","4,520","COMERCIO","$0.13","$0.00","$0.01","$0.01","$0.00","2,024"
"800,001,520","APOSTADORES DE RISARALDA SOCIEDAD ANÓNIMA - APOSTAR S.A.","SUPERSALUD","EJE CAFETERO","RISARALDA","PEREIRA","9,200","SERVICIOS","$0.13","$0.01","$0.06","$0.03","$0.03","2,024"
"816,007,754","EMPRENDER S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,711","COMERCIO","$0.13","$0.00","$0.04","$0.02","$0.02","2,024"
"800,122,420","CO & TEX S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","1,410","MANUFACTURA","$0.13","-$0.00","$0.09","$0.08","$0.01","2,024"
"816,006,016","COMESTIBLES INTEGRALES S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","1,081","MANUFACTURA","$0.13","$0.01","$0.17","$0.12","$0.04","2,024"
"890,900,265","COATS CADENA ANDINA S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,311","MANUFACTURA","$0.12","$0.02","$0.06","$0.03","$0.03","2,024"
"800,005,423","DE MODA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,771","COMERCIO","$0.12","$0.00","$0.06","$0.05","$0.02","2,024"
"901,324,644","FRUTY GREEN PACKING S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","GUATICA","4,631","COMERCIO","$0.12","$0.01","$0.09","$0.07","$0.02","2,024"
"900,490,788","BECALL OUTSOURCING S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","8,220","SERVICIOS","$0.11","$0.01","$0.03","$0.02","$0.01","2,024"
"900,131,529","IINDUSTRIAS TOMY S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,081","MANUFACTURA","$0.11","$0.01","$0.05","$0.02","$0.02","2,024"
"800,115,720","RG DISTRIBUCIONE S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,663","COMERCIO","$0.10","$0.00","$0.05","$0.01","$0.03","2,024"
"816,008,774","METALES Y MADERAS DEL RISARALDA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,663","COMERCIO","$0.10","$0.00","$0.03","$0.01","$0.02","2,024"
"891,411,213","INTEGRANDO S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","2,930","MANUFACTURA","$0.10","$0.00","$0.06","$0.04","$0.02","2,024"
"860,008,386","INDUSTRIA MOLINERA DE CALDAS S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","1,051","MANUFACTURA","$0.10","$0.01","$0.08","$0.03","$0.05","2,024"
"800,135,342","LAGOBO DISTRIBUCIONES S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,754","COMERCIO","$0.10","$0.01","$0.13","$0.09","$0.04","2,024"
"891,408,256","SEGURIDAD NACIONAL LIMITADA.","SUPERVIGILANCIA","EJE CAFETERO","RISARALDA","PEREIRA","8,010","SERVICIOS","$0.09","$0.00","$0.02","$0.01","$0.01","2,024"
"900,324,986","NUCLEO CONSTRUCTORA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,111","CONSTRUCCIÓN","$0.09","$0.00","$0.11","$0.09","$0.02","2,024"
"901,045,939","OPERADORA PORTUARIA AEROPUERTO MATECAÑA S.A.S.","SUPERTRANSPORTE","EJE CAFETERO","RISARALDA","PEREIRA","5,223","SERVICIOS","$0.09","$0.01","$0.21","$0.19","$0.03","2,024"
"891,409,006","GERMAN GAVIRIA S.A.S. DISTRIMOTOS","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,541","COMERCIO","$0.09","$0.00","$0.05","$0.03","$0.02","2,024"
"816,004,182","PENTAGRAMA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,392","MANUFACTURA","$0.09","$0.01","$0.06","$0.02","$0.04","2,024"
"891,401,345","INDUSTRIA COLOMBIANA DE CONFECCIONES S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,410","MANUFACTURA","$0.09","$0.00","$0.09","$0.09","$0.00","2,024"
"901,602,156","GNL GREEN NETWORK LOGISTICS S.A.S.","SUPERTRANSPORTE","EJE CAFETERO","RISARALDA","PEREIRA","4,923","SERVICIOS","$0.08","$0.00","$0.04","$0.04","$0.00","2,024"
"900,375,309","C2 SOLUCIONES S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,631","COMERCIO","$0.08","$0.00","$0.05","$0.04","$0.01","2,024"
"800,027,765","PARTES Y COMPLEMENTOS PLASTICOS S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","2,229","MANUFACTURA","$0.08","$0.01","$0.08","$0.03","$0.05","2,024"
"901,225,015","COMERCIALIZADORA DE CARNES Y GANADO DEL OTUN S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,620","COMERCIO","$0.07","$0.00","$0.02","$0.01","$0.00","2,024"
"816,006,449","LA INTEGRIDAD S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,711","COMERCIO","$0.07","$0.00","$0.02","$0.01","$0.01","2,024"
"900,087,656","LINARES CONSTRUCCIÓNES S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,111","CONSTRUCCIÓN","$0.07","$0.00","$0.15","$0.08","$0.07","2,024"
"800,051,817","AUTOMOTORA DE OCCIDENTE S EN C S","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,511","COMERCIO","$0.07","$0.00","$0.01","$0.00","$0.01","2,024"
"816,001,609","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS","SUPERSERVICIOS","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","3,600","SERVICIOS","$0.07","$0.01","$0.21","$0.04","$0.17","2,024"
"891,411,743","CLINICA DE FRACTURAS S.A.S.","SUPERSALUD","EJE CAFETERO","RISARALDA","PEREIRA","8,621","SERVICIOS","$0.07","$0.00","$0.03","$0.01","$0.01","2,024"
"890,800,100","CALDAS MOTOR S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,511","COMERCIO","$0.06","$0.00","$0.04","$0.02","$0.02","2,024"
"900,320,751","LA ECONOMIA COMERCIAL S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","SANTA ROSA DE CABAL","4,711","COMERCIO","$0.06","$0.00","$0.01","$0.00","$0.01","2,024"
"816,006,697","VEHICULOS DEL CAFE S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,511","COMERCIO","$0.06","$0.00","$0.01","$0.00","$0.01","2,024"
"900,260,749","TELEMARK SPAIN S.L. SUCURSAL COLOMBIA ZONA FRANCA PERMANENTE ESPECIAL","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","8,220","SERVICIOS","$0.06","$0.00","$0.04","$0.02","$0.02","2,024"
"901,208,060","BARBELO S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,620","COMERCIO","$0.06","$0.00","$0.02","$0.02","$0.00","2,024"
"900,153,867","IMPORTADORA OKLA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,541","COMERCIO","$0.06","$0.00","$0.04","$0.03","$0.01","2,024"
"900,631,710","VERITRAN COLOMBIA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","6,202","SERVICIOS","$0.06","$0.01","$0.03","$0.01","$0.02","2,024"
"816,007,113","CRISALLTEX S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,771","COMERCIO","$0.06","$0.00","$0.11","$0.06","$0.05","2,024"
"900,110,597","PASABOCAS PATTY S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","SANTA ROSA DE CABAL","1,089","MANUFACTURA","$0.06","$0.00","$0.03","$0.02","$0.01","2,024"
"901,116,362","CAMPOSOL COLOMBIA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","150","AGROPECUARIO","$0.06","-$0.01","$0.43","$0.01","$0.42","2,024"
"900,797,064","CLÍNICA LOS NEVADOS S.A.S.","SUPERSALUD","EJE CAFETERO","RISARALDA","PEREIRA","8,610","SERVICIOS","$0.06","-$0.02","$0.08","$0.10","-$0.02","2,024"
"800,149,296","ALFREDO EMILIO HOYOS MAZUERA & COMPAÑIA SCA","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","6,810","SERVICIOS","$0.06","$0.05","$0.22","$0.05","$0.16","2,024"
"900,079,790","EJE CONSTRUCCIÓNES S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","6,810","SERVICIOS","$0.06","$0.04","$0.36","$0.07","$0.29","2,024"
"900,418,144","MULTINTEGRAL S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,754","COMERCIO","$0.05","$0.00","$0.04","$0.03","$0.01","2,024"
"800,240,061","ACINOX S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","2,410","MANUFACTURA","$0.05","$0.00","$0.05","$0.02","$0.03","2,024"
"800,248,889","MG COMPAÑIA S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,631","COMERCIO","$0.05","$0.00","$0.02","$0.02","$0.00","2,024"
"900,365,660","PROVEER INSTITUCIONAL S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,631","COMERCIO","$0.05","$0.00","$0.02","$0.02","$0.00","2,024"
"900,188,750","AGREGADOS DEL OCCIDENTE DE RISARALDA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","SATUARIO","4,663","COMERCIO","$0.05","$0.00","$0.06","$0.03","$0.03","2,024"
"900,091,746","LA FABRICA DE LA FELICIDAD S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","1,020","MANUFACTURA","$0.05","$0.00","$0.02","$0.02","$0.00","2,024"
"800,196,263","ALUMINIOS DE COLOMBIA S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","2,511","MANUFACTURA","$0.05","$0.00","$0.04","$0.02","$0.02","2,024"
"816,006,765","CONSTRUCTORA EPIC S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,111","CONSTRUCCIÓN","$0.05","$0.00","$0.03","$0.03","$0.01","2,024"
"901,429,278","CERRITOS HOME S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,111","CONSTRUCCIÓN","$0.05","$0.00","$0.04","$0.04","$0.00","2,024"
"816,001,215","ASSERVI S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","8,220","SERVICIOS","$0.05","$0.00","$0.03","$0.02","$0.01","2,024"
"900,077,504","AGROCERDOS S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","144","AGROPECUARIO","$0.05","$0.00","$0.03","$0.01","$0.02","2,024"
"830,509,112","IARCO S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,111","CONSTRUCCIÓN","$0.05","$0.00","$0.04","$0.03","$0.00","2,024"
"891,409,390","RADIOLOGOS ASOCIADOS S.A.S.","SUPERSALUD","EJE CAFETERO","RISARALDA","PEREIRA","8,691","SERVICIOS","$0.05","$0.01","$0.07","$0.03","$0.04","2,024"
"900,340,724","JJARDINES DEL RENACER S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","9,603","SERVICIOS","$0.05","-$0.00","$0.03","$0.03","-$0.00","2,024"
"900,580,322","CONSTRUCTORA PALO DE AGUA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,111","CONSTRUCCIÓN","$0.05","$0.02","$0.13","$0.08","$0.05","2,024"
"860,002,445","EXCO COLOMBIANA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","2,599","MANUFACTURA","$0.05","$0.00","$0.06","$0.03","$0.03","2,024"
"891,408,135","NICOLE S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","1,313","MANUFACTURA","$0.05","$0.00","$0.04","$0.01","$0.03","2,024"
"816,004,942","METGROUP S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","2,930","MANUFACTURA","$0.05","$0.00","$0.03","$0.02","$0.01","2,024"
"900,932,331","DISTRIBUCIONES TOLE S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,645","COMERCIO","$0.05","$0.00","$0.01","$0.01","$0.00","2,024"
"901,352,572","SCHEFFER COLOMBIA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","161","AGROPECUARIO","$0.04","-$0.01","$0.12","$0.11","$0.01","2,024"
"900,169,541","COMERCIALIZADORA LA POSADA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","LA VIRGINIA","4,711","COMERCIO","$0.04","$0.00","$0.01","$0.00","$0.00","2,024"
"816,002,230","LA ESTRELLA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","144","AGROPECUARIO","$0.04","$0.00","$0.06","$0.01","$0.05","2,024"
"900,973,932","TIENDAS Y MARCAS DLE EJE CAFETERO S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,631","COMERCIO","$0.04","-$0.00","$0.00","$0.00","$0.00","2,024"
"891,407,898","COOPERATIVA DE TRABAJADORES VIGILANTES DE RISARALDA","SUPERVIGILANCIA","EJE CAFETERO","RISARALDA","PEREIRA","8,010","SERVICIOS","$0.04","$0.00","$0.01","$0.01","$0.00","2,024"
"816,005,473","LA OFRENDA S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","9,603","SERVICIOS","$0.04","$0.00","$0.04","$0.01","$0.02","2,024"
"830,085,294","ACEROS INOXIDABLES S.A. SIGLA ACINOX S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","2,410","MANUFACTURA","$0.04","$0.00","$0.04","$0.01","$0.03","2,024"
"900,443,873","IINDUCOLOMBIA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,631","COMERCIO","$0.04","$0.00","$0.01","$0.01","$0.01","2,024"
"816,006,362","LLOPEZ ALVAREZ Y COMPAÑIA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,661","COMERCIO","$0.04","$0.00","$0.03","$0.01","$0.02","2,024"
"900,653,488","IML EMPAQUES COLOMBIA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","2,229","MANUFACTURA","$0.04","-$0.00","$0.09","$0.03","$0.06","2,024"
"900,381,458","SUPERMERCADOS EL CAFETAL S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,711","COMERCIO","$0.04","$0.00","$0.01","$0.00","$0.00","2,024"
"891,400,819","GUILLERMO PULGARIN S S.A. EN REORGANIZACION","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","1,410","MANUFACTURA","$0.04","$0.00","$0.04","$0.02","$0.02","2,024"
"891,400,379","TEXTILES OMNES S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","1,312","MANUFACTURA","$0.04","$0.00","$0.03","$0.01","$0.02","2,024"
"901,466,951","CENTRO ONCOLOGICO DEL CARIBE DE COLOMBIA S.A.S.","SUPERSALUD","EJE CAFETERO","RISARALDA","PEREIRA","8,692","SERVICIOS","$0.04","$0.00","$0.02","$0.01","$0.01","2,024"
"816,001,249","ASUL S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,111","CONSTRUCCIÓN","$0.04","$0.00","$0.14","$0.07","$0.06","2,024"
"830,501,271","INTEGRA S.A.","SUPERTRANSPORTE","EJE CAFETERO","RISARALDA","PEREIRA","4,921","SERVICIOS","$0.04","$0.00","$0.06","$0.01","$0.05","2,024"
"900,600,019","WORLD TRAVEL ASSIST LATAM S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","8,299","SERVICIOS","$0.04","$0.00","$0.02","$0.01","$0.01","2,024"
"900,273,435","REPRESENTACIONES IDARRAGA  E IDARRAGA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,773","COMERCIO","$0.04","$0.00","$0.01","$0.00","$0.00","2,024"
"816,006,044","LA GRAN FERRETERIA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,752","COMERCIO","$0.04","$0.00","$0.02","$0.01","$0.01","2,024"
"800,201,735","INDUSTRIAS DEL PACIFICO S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","LA VIRGINIA","3,312","MANUFACTURA","$0.04","$0.00","$0.03","$0.01","$0.01","2,024"
"901,121,823","DIVIDRIOS S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","2,310","MANUFACTURA","$0.04","$0.00","$0.02","$0.01","$0.00","2,024"
"900,588,276","GB BIOPACOL ANDINA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,709","MANUFACTURA","$0.04","-$0.00","$0.04","$0.04","-$0.00","2,024"
"900,353,668","EMPRESA DE SERVICIOS TEMPORALES TEMPOEFICAZ S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","7,820","SERVICIOS","$0.04","$0.00","$0.02","$0.01","$0.01","2,024"
"900,594,772","4E GROUP S.A.S. ESP","SUPERSERVICIOS","EJE CAFETERO","RISARALDA","PEREIRA","3,511","SERVICIOS","$0.03","$0.00","$0.01","$0.01","$0.00","2,024"
"901,496,836","DISTRIBUIDORA DE HIDROCARBUROS DE COLOMBIA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,731","COMERCIO","$0.03","$0.00","$0.00","$0.00","$0.00","2,024"
"900,007,124","LUBRITER R & Q S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,732","COMERCIO","$0.03","$0.00","$0.01","$0.01","$0.00","2,024"
"901,099,878","CONSTRUEJE S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,752","COMERCIO","$0.03","$0.00","$0.01","$0.00","$0.01","2,024"
"900,771,011","AGROPECUARIA BAMBUSA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","141","AGROPECUARIO","$0.03","$0.01","$0.08","$0.03","$0.04","2,024"
"800,189,984","IMÁGENES DIAGNOSTICAS S.A.","SUPERSALUD","EJE CAFETERO","RISARALDA","PEREIRA","8,691","SERVICIOS","$0.03","$0.00","$0.02","$0.01","$0.01","2,024"
"891,401,416","TEXTILES RISARALDA S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,641","COMERCIO","$0.03","$0.00","$0.02","$0.01","$0.01","2,024"
"900,223,824","ESPIRITU URBANO S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","1,410","MANUFACTURA","$0.03","$0.00","$0.03","$0.02","$0.01","2,024"
"891,400,005","ALCIDES AREVALO S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,530","COMERCIO","$0.03","$0.00","$0.12","$0.04","$0.08","2,024"
"816,003,385","COMERCIALIZADORA INTERNACIONAL PRODUCTOS BASICOS IMPORT & EXPORT S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,641","COMERCIO","$0.03","$0.00","$0.01","$0.00","$0.01","2,024"
"816,005,824","CEMPAC S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,761","COMERCIO","$0.03","$0.00","$0.02","$0.01","$0.00","2,024"
"900,695,452","NASE COLOMBIA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","8,110","SERVICIOS","$0.03","$0.00","$0.01","$0.00","$0.00","2,024"
"901,644,853","DEPORTIVO PEREIRA FC S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","9,312","SERVICIOS","$0.03","-$0.00","$0.05","$0.02","$0.03","2,024"
"900,256,495","PLANTA Y FRIGORIFICO DEL OTUN; FRIGOTUN S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","162","AGROPECUARIO","$0.03","$0.00","$0.03","$0.01","$0.01","2,024"
"900,583,550","CORRUGADOS DE RISARALDA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","1,702","MANUFACTURA","$0.03","$0.00","$0.02","$0.02","$0.00","2,024"
"900,456,160","LACASSINE S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","5,511","SERVICIOS","$0.03","$0.01","$0.05","$0.01","$0.04","2,024"
"800,196,002","ASC ELECTRÓNICA S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","2,790","MANUFACTURA","$0.03","$0.00","$0.02","$0.01","$0.01","2,024"
"891,408,382","AMERICANA DE CURTIDOS LIMITADA. Y COMPAÑIA SCA","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","SANTA ROSA DE CABAL","1,511","MANUFACTURA","$0.03","-$0.00","$0.04","$0.02","$0.02","2,024"
"900,724,450","TRANDECOL S.A.S.","SUPERTRANSPORTE","EJE CAFETERO","RISARALDA","PEREIRA","4,921","SERVICIOS","$0.03","$0.00","$0.01","$0.00","$0.01","2,024"
"816,004,795","ENERGITEL S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,652","COMERCIO","$0.03","$0.00","$0.02","$0.02","$0.01","2,024"
